"taskID","productLineID","productID","requiredProductQuantity","achievedProductQuantity","startDate","endDate","taskStatusID","clientID"
"1","1","1","10","10","2026-01-23","2026-01-23","3","1"
"2","2","3","33","8","2026-01-24","","5","1"
"3","3","3","33","33","2026-01-24","2026-01-25","3","1"
"4","3","3","33","33","2026-01-24","2026-01-25","3","1"
"5","3","3","33","16","2026-01-24","","5","1"
"6","8","3","33","33","2026-01-24","2026-01-25","3","1"
"7","","3","33","0","2026-01-24","","6","1"
"8","","3","33","0","2026-01-24","","1","1"
"9","3","3","33","3","2026-01-24","","5","1"
"10","","3","33","0","2026-01-24","","1","1"
"11","","3","33","0","2026-01-24","","1","1"
"12","","3","33","0","2026-01-24","","1","1"
"13","","3","33","0","2026-01-24","","1","1"
"14","","3","33","0","2026-01-24","","1","1"
"15","","3","33","0","2026-01-24","","1","1"
"16","","3","33","0","2026-01-24","","1","1"
"17","","3","33","0","2026-01-24","","1","1"
"18","","3","33","0","2026-01-24","","1","1"
"19","","3","33","0","2026-01-24","","1","1"
"20","","3","33","0","2026-01-24","","1","1"
"21","","3","33","0","2026-01-24","","1","1"
"22","","3","33","0","2026-01-24","","1","1"
"23","","3","33","0","2026-01-24","","1","1"
"24","","3","33","0","2026-01-24","","1","1"
"25","","3","33","0","2026-01-24","","1","1"
"26","","3","33","0","2026-01-24","","1","1"
"27","","3","33","0","2026-01-24","","1","1"
"28","","3","33","0","2026-01-24","","1","1"
"29","","3","33","0","2026-01-24","","1","1"
"30","","3","33","0","2026-01-24","","1","1"
"31","","3","33","0","2026-01-24","","1","1"
"32","","3","33","0","2026-01-24","","1","1"
"33","","3","33","0","2026-01-24","","1","1"
"34","","3","33","0","2026-01-24","","1","1"
"35","","3","33","0","2026-01-24","","1","1"
"36","","3","33","0","2026-01-24","","1","1"
"37","","3","33","0","2026-01-24","","1","1"
"38","","3","33","0","2026-01-24","","1","1"
"39","","3","33","0","2026-01-24","","1","1"
"40","","3","33","0","2026-01-24","","1","1"
"41","","3","33","0","2026-01-24","","1","1"
"42","","1","33","0","2026-01-24","","1","1"
"43","","1","33","0","2026-01-24","","1","1"
"44","","1","33","0","2026-01-24","","1","1"
"45","","1","33","0","2026-01-24","","1","1"
"46","","1","33","0","2026-01-24","","1","1"
"47","","1","33","0","2026-01-24","","1","1"
"48","3","1","33","33","2026-01-24","2026-01-25","3","1"
"49","","1","33","0","2026-01-24","","1","1"
"50","","1","33","0","2026-01-24","","1","1"
"51","","1","33","0","2026-01-24","","1","1"
"52","","1","33","0","2026-01-24","","1","1"
"53","","1","33","0","2026-01-24","","1","1"
"54","","1","33","0","2026-01-24","","1","1"
"55","","1","33","0","2026-01-24","","1","1"
"56","","1","33","0","2026-01-24","","1","1"
"57","","1","33","0","2026-01-24","","1","1"
"58","","1","33","0","2026-01-24","","1","1"
"59","","1","33","0","2026-01-24","","1","1"
"60","","1","33","0","2026-01-24","","1","1"
"61","","1","33","0","2026-01-24","","1","1"
"62","","1","33","0","2026-01-24","","1","1"
"63","","1","33","0","2026-01-24","","1","1"
"64","","1","33","0","2026-01-24","","1","1"
"65","","1","33","0","2026-01-24","","1","1"
"66","","1","33","0","2026-01-24","","1","1"
"67","","1","33","0","2026-01-24","","1","1"
"68","","1","33","0","2026-01-24","","1","1"
"69","","1","33","0","2026-01-24","","1","1"
"70","","1","33","0","2026-01-24","","1","1"
"71","","1","33","0","2026-01-24","","1","1"
"72","","1","33","0","2026-01-24","","1","1"
"73","","1","33","0","2026-01-24","","1","1"
"74","","1","33","0","2026-01-24","","1","1"
"75","","1","33","0","2026-01-24","","1","1"
"76","","1","33","0","2026-01-24","","1","1"
"77","","1","33","0","2026-01-24","","1","1"
"78","","1","33","0","2026-01-24","","1","1"
"79","","1","33","0","2026-01-24","","1","1"
"80","","1","33","0","2026-01-24","","1","1"
"81","","2","10","0","2026-01-25","","1","109"
"82","","2","10","0","2026-01-25","","1","109"
"83","","2","10","0","2026-01-25","","1","109"
"84","","2","10","0","2026-01-25","","1","109"
"85","","2","10","0","2026-01-25","","1","109"
"86","","2","10","0","2026-01-25","","1","109"
"87","","2","10","0","2026-01-25","","1","109"
"88","","2","10","0","2026-01-25","","1","109"
"89","","2","10","0","2026-01-25","","1","109"
"90","","2","10","0","2026-01-25","","1","109"
"91","","2","10","0","2026-01-25","","1","109"
"92","","2","10","0","2026-01-25","","1","109"
"93","","2","10","0","2026-01-25","","1","109"
"94","","2","10","0","2026-01-25","","1","109"
"95","","2","10","0","2026-01-25","","1","109"
